ACCOUNT_NUMBER,TRADE_ID,CUST_ID,LOAN_TYPE,TRANS_ID,TRANS_DATE,PRICE,QUANTITY,AMOUNT,TRADE_EXECUTION_STATUS,INST_TYPE,EXCHANGE,INDEX_NAME,TRADE_TS,TRADE_TYPE,BUY_SELL_SIDE,TRADER__ID,BROKER_ID,COMMENTS,TRADE_BOOKING_STATE,INTERNAL_TRADE_ID,BOOK_ID,COUNTERPARTY_LE,NOTIONAL_VALUE,INTEREST_RATE,FIXED_RATE,FLOAT_RATE,OPTION_EXPIRY_DATE,OPTION_TYPE,STRIKE_PRICE,BUY_SELL,SETTLEMENT_FREQUENCY,SETTLEMENT_STATUS,SETTLEMENT_CURRENCY,SETTLEMENT_METHOD,MISC_BLOB_1,MISC_BLOB_2,VERSION
1e0dc87ac3f0c04,35a4e900,255e8e3c3f1a228,TIPS,2408109,2018-07-03,100.0510,461097,46133215.95,EXECUTED,STATE,NYSE,DOW JONES TRANSPORT,2018-09-24 08:57:23.861,STOP,BUY SIDE,424,576,CUST_ID: '255e8e3c3f1a228' PRICE: '100.051000' LOAN_TYPE: 'TIPS' EXCHANGE: 'NYSE',CLEARED,602329891,3829105,ICBC,8576817.27,9.13,9.13,7.55,2019-07-09,ETC,107.9716,SUSPEND,ANNUAL,CANCELLED,USD,ELECTRONIC,1bfcd89a1bc6390,249f6b73dcddaa8,1
2b462022525d0b0,35a4e902,2578ba20d829ea8,CD,7985917,2018-07-23,36.5286,799910,29219592.43,EXECUTED,CLEARING HOUSE,NSX,DOW JONES IND,2018-09-23 09:55:52.633,BUY LIMIT,GOVT,858,448,CUST_ID: '2578ba20d829ea8' PRICE: '36.528600' LOAN_TYPE: 'CD' EXCHANGE: 'NSX',CLEARED,198316395,8446830,Goldman Sachs,4446240.29,11.81,11.81,7.98,2019-10-02,CALL,34.0083,HOLD,ANNUAL,HOLD,CAD,DIRECT,1f2ffeaeab80a40,2391d21a10b0bf0,1
1d2d52c2522f40c,35a4e903,2424e3a640962b8,FEDERAL,8767658,2018-09-25,170.3862,434027,73952211.23,IN PROCESS,BROKER,PHLX,DOW GLOBAL,2018-09-26 07:42:02.397,SELL LIMIT,BUY SIDE,592,744,CUST_ID: '2424e3a640962b8' PRICE: '170.386200' LOAN_TYPE: 'FEDERAL' EXCHANGE: 'PHLX',INITIATED,804363005,1448912,Wells Fargo,425103.34,10.58,10.58,5.43,2020-04-24,PUT,165.7493,SUSPEND,SEMI ANNUAL,HOLD,CAD,THIRD PARTY,1e43d409f9400c0,288f77c21d85dd0,1
267665593d63470,35a4e90f,2b91d7f5cbbe7a0,STATE,3906073,2018-08-12,27.0664,315438,8537771.08,IN PROCESS,BROKER,AMEX,SP500,2018-09-28 04:33:11.377,SELL STOP,THIRD PARTY,911,398,CUST_ID: '2b91d7f5cbbe7a0' PRICE: '27.066400' LOAN_TYPE: 'STATE' EXCHANGE: 'AMEX',INITIATED,462372111,1545057,UBS,1586354.05,8.64,8.64,3.20,2020-08-14,ETC,26.4007,SUSPEND,QUARTERLY,REJECTED,CNY,ELECTRONIC,1fedd6b86010b20,2952705c782f760,1
28655216f08fa70,35a4e90f,2339816992832b8,TIPS,3371785,2018-08-07,63.7234,400579,25526255.85,DEFERRED,CUSTODIAN,CME,SP500,2018-09-28 04:33:11.377,SELL LIMIT,SELL SIDE,408,177,CUST_ID: '2339816992832b8' PRICE: '63.723400' LOAN_TYPE: 'TIPS' EXCHANGE: 'CME',REVIEW,492033784,6899193,RBC,8116270.52,10.03,10.03,11.77,2020-07-05,ETC,66.9649,BUY,ANNUAL,REJECTED,JPY,PHYSICAL,1a8ec33362b1c38,19c5a5c6a9fb412,1
227ce38afa19d30,35a4e90f,2075d1b2205a078,STATE,9449419,2018-07-22,60.0421,103850,6235372.09,EXECUTED,CUSTODIAN,ISE,FTSE WORLD,2018-09-28 04:33:11.377,SELL LIMIT,INST,847,621,CUST_ID: '2075d1b2205a078' PRICE: '60.042100' LOAN_TYPE: 'STATE' EXCHANGE: 'ISE',REVIEW,306696408,7816452,Capital One,2797313.09,9.62,9.62,8.61,2021-02-12,OTC,64.7584,SUSPEND,WEEKLY,CANCELLED,CHF,THIRD PARTY,17aa56e17c9d3c8,24b72520c91c428,1
20b5aa99bb42ab0,35a4e911,2c0c6bf6d291aa0,STATE,2513007,2018-09-18,191.1898,699901,133813932.21,DEFERRED,CUSTODIAN,NASDAQ,SP500,2018-09-26 04:53:39.860,MARKET,INST,883,720,CUST_ID: '2c0c6bf6d291aa0' PRICE: '191.189800' LOAN_TYPE: 'STATE' EXCHANGE: 'NASDAQ',SUBMITTED,475831035,3071337,MUFG,5116151.28,5.30,5.30,4.71,2020-01-25,PUT,192.4656,SELL,DAILY,HOLD,GBP,ELECTRONIC,26767b629593430,23b6c6b614a26b0,1
1bed5c50ce44c38,35a4e911,20a1c77745c6908,CD,9954503,2018-07-17,130.9424,949047,124270491.89,REJECTED,CUSTODIAN,CME,NASDAQ COMP,2018-09-26 04:53:39.860,BUY STOP,GOVT,770,564,CUST_ID: '20a1c77745c6908' PRICE: '130.942400' LOAN_TYPE: 'CD' EXCHANGE: 'CME',CLEARED,622724400,5527862,BNP Paribas,5256007.68,6.15,6.15,8.73,2021-04-06,ETC,136.2404,SELL,WEEKLY,DONE,MXN,THIRD PARTY,2adf602e5ce3070,174ddf7271b646f,1
2b3bfd2621de800,35a4e911,1a1ad5aafe8d63c,CORP,9253587,2018-09-24,122.6346,119108,14606761.94,DEFERRED,STATE,NASDAQ,STOXX EUROPE,2018-09-26 04:53:39.860,MARKET,INST,305,337,CUST_ID: '1a1ad5aafe8d63c' PRICE: '122.634600' LOAN_TYPE: 'CORP' EXCHANGE: 'NASDAQ',SUBMITTED,173653903,6265899,Citi,4953815.63,8.11,8.11,7.45,2020-05-17,ETC,114.8688,HOLD,ANNUAL,HOLD,CHF,THIRD PARTY,1ef8b0ee5c2fc20,1b969df77041770,1
2b3bfd2621de800,35a4e912,1a1ad5aafe8d63c,STATE,7947059,2018-07-04,163.1179,116980,19081531.94,CANCELLED,BANK,NSX,DOW GLOBAL,2018-09-28 01:05:22.825,STOP,INST,443,749,CUST_ID: '1a1ad5aafe8d63c' PRICE: '163.117900' LOAN_TYPE: 'STATE' EXCHANGE: 'NSX',INITIATED,454924745,9840724,Goldman Sachs,2073299.12,9.08,9.08,2.72,2019-11-03,ETC,161.9403,SELL,ANNUAL,REJECTED,JPY,ELECTRONIC,2af84f9d22a2d60,2904ab1da7ba540,1
